# fan-out>50 全清單	count	class
東西	2837	S
對象	2283	S
要	1992	S
想	1828	S
地方	1611	S
時間	1580	S
做	1474	S
使用	1297	S
器具	1181	S
使	1069	S
指所	1018	S
物件	1016	S
去	942	S
借詞	856	S
請	749	S
著	733	S
起來	606	S
讓	600	S
日語	595	S
地點	546	S
弄	544	S
指被	541	S
來	538	S
指要	525	S
叫	425	S
工具	401	S
樣子	350	S
用具	347	S
水	321	C
吃	317	C
促使	306	S
原因	297	S
到	294	S
希望	293	S
打	284	C
開	260	S
後	254	S
於	239	S
命令	230	S
出來	228	S
長	227	C
頭	227	C
事情	225	C
表示	221	S
表	219	S
走	218	C
造	208	S
看	196	C
如	195	S
特地	195	S
能夠	191	S
準備	189	S
做事	188	S
處	186	S
部落	184	C
住	183	S
閩南語	182	S
手段	181	S
進去	181	S
呈	177	S
捕捉	175	C
放	174	S
說	170	C
名稱	168	S
下來	160	S
好	159	C
做成	159	S
衣服	158	C
分配	153	C
洗	152	C
大	151	C
詞	149	S
物	148	S
送	147	S
像	147	S
小	146	C
飯	146	C
魚	137	C
倒	136	S
起	135	S
藉	134	S
搖動	134	C
手	134	C
工作	131	S
靠近	129	C
帶	129	S
話	128	S
目標	127	S
編織	126	C
拿	126	C
動	126	S
煮	126	C
能	125	S
事	123	S
短語	121	S
兒	120	S
成	119	S
器物	117	S
出	117	S
動物	116	C
令人	116	S
食物	116	C
狀態	114	S
摘取	114	C
有意	112	S
能力	111	S
反	111	S
砍	111	C
穿	110	C
指有	109	S
眼睛	107	C
會	107	S
砍伐	106	C
感到	105	S
放在	103	S
用來	103	S
種類	102	S
小米	101	C
挖	101	C
完成	100	S
頂	100	C
喜歡	100	C
啃	100	C
即	99	C
樹	99	C
得到	95	C
碰撞	95	C
曬	95	C
刀	94	C
風	93	C
摘	93	C
要求	93	C
草	92	C
行為	92	C
衣物	92	C
指給	91	C
腳	89	C
拉	89	C
脫	88	C
建造	88	C
火	88	C
捕撈	87	C
捆	86	C
停止	86	C
開始	85	C
愛	85	C
指讓	85	C
彎	85	C
緊	85	C
咬	85	C
狀	84	C
結果	84	C
菜	83	C
太陽	83	C
煙	81	C
浸泡	81	C
接受	81	C
嘴	81	C
增加	81	C
台灣	81	C
送到	79	C
撿	79	C
參加	79	C
跑	79	C
土地	79	C
折斷	78	C
超過	77	C
掛	76	C
連接	76	C
氣	75	C
朝向	75	C
擠	75	C
採集	75	C
裝飾	75	C
插入	75	C
語	74	C
形態	74	C
跳	74	C
達到	74	C
分開	74	C
檳榔	73	C
接近	73	C
活動	73	C
聚集	72	C
洞	72	C
祭祀	71	C
裝	71	C
合	71	C
形成	71	C
方式	71	C
殺	71	C
支撐	71	C
識	71	C
覆蓋	71	C
壓	70	C
阻擋	70	C
前綴	70	C
傳播	69	C
出現	69	C
變成	69	C
指示	69	C
整理	69	C
沈	69	C
線	69	C
輕	69	C
指能	69	C
扛	69	C
取	69	C
代詞	68	C
敲打	68	C
測量	68	C
作物	67	C
緣故	67	C
彎曲	67	C
成為	67	C
排列	67	C
憑藉	67	C
收割	66	C
喝	66	C
打擊	66	C
鑽	66	C
派	66	C
移動	66	C
坐	66	C
聲音	66	C
驅逐	65	C
毛	65	C
腰	65	C
丈量	65	C
田地	64	C
生	64	C
喊叫	64	C
形	64	C
撞	64	C
傷	64	C
行	64	C
給予	64	C
抓	63	C
燒	63	C
分享	63	C
受命	63	C
尋找	63	C
指用	63	C
作	63	C
侵佔	63	C
離開	63	C
拴住	62	C
挖掘	62	C
返回	62	C
鳥	62	C
行事	62	C
洗澡	62	C
延長	61	C
洗刷	61	C
拽	61	C
方向	61	C
祭	61	C
掉	61	C
跨越	60	C
面	60	C
豬	60	C
妨礙	60	C
高	59	C
假裝	59	C
催促	59	C
堅持	59	C
堆積	59	C
突然	59	C
佔	59	C
直接	59	C
傳遞	59	C
搖擺	59	C
照顧	58	C
刮	58	C
陷阱	58	C
馬	58	C
灑	58	C
投擲	58	C
竹	58	C
戴	58	C
沒有	58	C
解開	57	C
牛	57	C
參與	57	C
放置	57	C
按摩	57	C
分離	57	C
行走	57	C
台灣花蓮縣	56	C
休息	56	C
錢	56	C
關	56	C
肩	56	C
伸展	56	C
柔軟	56	C
皮	55	C
重	55	C
放棄	55	C
潑	55	C
吹	55	C
換	55	C
抓住	54	C
交代	54	C
受	54	C
回去	54	C
溢出	54	C
攜帶	54	C
牲口	54	C
供	54	C
攪	54	C
斷	54	C
大家	53	C
搞	53	C
翻動	53	C
繩子	53	C
撞擊	53	C
弛	53	C
包	53	C
孩子	53	C
擦拭	52	C
做出	52	C
嚇	52	C
腿	52	C
動作	52	C
時候	52	C
集會	52	C
扁	52	C
遠	52	C
抹	52	C
拔	51	C
模仿	51	C
爐	51	C
找	51	C
籬笆	51	C
形如	51	C
炫耀	51	C
隱藏	51	C
停留	51	C
臉	51	C
槽	51	C
夠	51	C
抱	51	C
拾	51	C
安排	51	C
淨	51	C
形狀	51	C
