stem	def	local	llm	merged
misafasiyaw	製做風箏。	製做風箏	製作風箏	製作風箏,製做風箏
sapisalaya'aw	想做一尺長。	想	一尺長	一尺長,想
mifoheci	剝皮，去殼。；逐一解釋，分析。分解，剖析，研究，逐點地解釋。	分析,分解,剖析,剝皮,去殼,研究,解釋,逐一解釋	根據您的要求	分析,分解,剖析,剝皮,去殼,根據您的要求,研究,解釋
malinikay	偷偷溜走了，悄悄走了。	悄悄走了,溜走	偷偷,走了	偷偷,悄悄走,溜走,走了
sapiterikaw	想彈射出去。	射出去,想彈	彈射	射出去,彈射,想彈
masa'ika'ikayay	凝結成一塊一塊了。；指凝結成許多塊狀的（東西）。	凝,狀,結成	塊塊	凝,塊塊,狀,結成
masamiyamiyat	閃閃發光的樣子。	發光	閃爍	發光,閃爍
sata'eli'elifsa	呈多次越過、通過的狀態。	呈	多次,越過,通過	呈,多次,越過,通過
sakacipono'aw	希望有頭腦。	希望	頭腦	希望,頭腦
mipapipatalahekalan	受命弄到外面了。；指受命把某物弄到外面的（對象）。	受命	外面	受命,外面
kilawa	撿、拾遺物（如拾遺落地上的稻穗）。	拾遺物,撿	稻穗	拾遺物,撿,稻穗
ma'esal	（指東西）被分出一部分。	分出,指東西	一部分	一部分,分出,指東西
makena	（表示探詢、徵求對方或自我肯定）怎麼樣，可以吧？過得去，差不多。	差不多,怎麼樣	徵求,探詢,肯定	差不多,徵求,怎麼樣,探詢,肯定
tahadadayaay	直到晚上了。；指直到晚上的。	直到	晚上	晚上,直到
sa'ako'akong	做成彎彎曲曲的樣子。	曲曲	彎曲	彎曲,曲曲
sapihacinaraw	想席地而坐。	想	席地而坐	席地而坐,想
masacingacingaay	抬頭四處張望起來了。；指四處張望的（對象）。	張望,抬頭	张望,抬头	张望,張望,抬头,抬頭
tatootoorsa	一個跟著一個地。	地,跟著	一個	一個,地,跟著
papecihen	給…掰成一半，把…掰成一半。	掰成	一半	一半,掰成
piharakatan	加快步伐走的地方、時間。	走	步伐	步伐,走
satakotakoden	有意識地把…跳來越去的。	識,跳來	跳越	識,跳來,跳越
aitiniay	老在這裡的，就在這裡的（對像），從這裡來的。	對像	這裡	對像,這裡
