class	stem	bucket	def	local_kw	llm_kw
DISJOINT	haenay	含「的」短語	這樣的，如此（做）的。	做	如此,這樣的
DISJOINT	inahacowa	含「的」短語	（指過去）什麼時候的。	指過去	什麼時候
DISJOINT	cokep	含括號	（阿美人收藏寶物的）戶外庫房。	庫房,阿美人收藏寶物的	寶物,戶外庫房,阿美人
DISJOINT	sapakoyocay	含括號	最貧窮了。；最貧窮的（人）。	人,貧窮	最貧窮
DISJOINT	sakiya	含括號	如此這般。(一般放在句後)	一般放在句後	如此這般
DISJOINT	papito	含括號	（指人或動物）七個。	指人或動物	動物
DISJOINT	kapapecih	多義項	對半分開的。；（表促使、命令）對半分吧。	表促使,開	對半分,對半分開
DISJOINT	masasiolah	多義項	彼此相愛。；彼此相愛的。	相愛	彼此相愛
DISJOINT	nikawra	多義項	連接詞。；但是，可是，然而。	詞	但是,可是,然而
DISJOINT	katahira	含頓號	到那裡的。；（表促使、命令）請到達那裡。	表促使,請,達	到達,到那裡
DISJOINT	sapipacocoaw	含頓號	想餵奶、想給奶。	奶,想,餵	給奶,餵奶
DISJOINT	Nowalian	地名後綴	三仙台(台東縣成功鎮)	仙台,台東縣成功鎮	三仙台
DISJOINT	karoroan	地名後綴	地名，今台灣台東市內的加路蘭部落，以及花蓮縣豐濱鄉的磯崎部落。	加路蘭部落,台東,台灣,地名,濱,磯崎部落,花蓮縣,鄉	加路蘭,磯崎
DISJOINT	cifadahan	地名後綴	(地名)現今花蓮縣光復鄉濕地。	光,地名,濕,花蓮縣,鄉	濕地
DISJOINT	tipod	部落/社名	地名，今台灣台東縣卑南鄉知本地區。；捎帶，順便帶。	卑南,台東縣,台灣,地名,帶,捎,鄉知,順便	捎帶,知本
DISJOINT	noyanan to	前後綴/短語	（短語）。；此後，然後。	後	此後,然後
DISJOINT	tahira to	前後綴/短語	(短語)到達那裡了。	達	到達
DISJOINT	maanen aca	前後綴/短語	（短語）。；對不起、不得已。	不起	不得已,對不起
DISJOINT	ano iraira ko	前後綴/短語	(短語) 即使有，就說有。	說	說有
DISJOINT	sapipanganganaw	人名/姓氏	想給人取名字，想取名字。	人,想	取名字
DISJOINT	safulo	人名/姓氏	人名。三郞。	人	三郞
DISJOINT	sapipangangan	人名/姓氏	給人取名字憑藉的器具。	人,藉	名字
DISJOINT	kaci'idoc	祈使/命令	攜帶長矛的。；（表促使、命令）請攜帶長矛。	帶長,攜,矛,表促使,請	攜帶,長矛
DISJOINT	kalafi	祈使/命令	吃晚飯。；（表促使、命令）請吃晚飯。	吃,表促使,請,飯	吃晚飯
DISJOINT	sapisadodang	古語字	做方形臼子使用的器具。	方形,臼子	方形臼子
DISJOINT	misakarihic	古語字	編製魚簍。	編,魚	編製,魚簍
DISJOINT	pokahik	古語字	雞糞、雞屎。	屎,糞,雞	雞屎,雞糞
DISJOINT	tifekan	古語字	木製舂米臼；碾米機，碾米廠。	木,碾米,臼,舂	木製,碾米廠,碾米機,舂米臼
DISJOINT	mipapita'elifay	超長(>30字)	叫（人）經過、通過、越過了。；`Mi~`papita'elifay~ `kako~ `ca~`nira~`a~`n~ `tora~ `rarengosan~.我讓他們越過草地了。	人,草地	經過,越過,通過
DISJOINT	rapor	超短(<=4字)	倒勾刺。	倒勾,刺	倒勾刺
DISJOINT	sa'owayan	超短(<=4字)	藤子園。	藤子	藤子園
DISJOINT	misakodasing	超短(<=4字)	種花生。	花生	種花生
DISJOINT	talo'odan	超短(<=4字)	牛軛。	牛	牛軛
DISJOINT	sapitaw	超短(<=4字)	做鋤頭。	鋤,頭	鋤頭
LLM_EMPTY	sapiramot	含「的」短語	撿拾東西使用的器具。	拾,撿	
LLM_EMPTY	cikcikhan	含括號	就把（肉）切成塊兒，切碎。	切成,切碎,塊兒,肉	
LLM_EMPTY	tinako saan	前後綴/短語	（短語）。；比如說，舉個例子說。	例子,比如,舉	
LLM_EMPTY	mica'engar	超長(>30字)	`Mi~`ca'engar~；`to~ `hahodhoden~ `a~ `titi~.把要烤的	要烤	
LOCAL_EMPTY	natayni to	含括號	(短詞)來過了。		來過
LOCAL_EMPTY	pa'ayawan kiso	含括號	(短語) 隨便你，不管你了。		不管,隨便
LOCAL_EMPTY	satalimaamaan	含頓號	拖拖拉拉、磨磨蹭蹭。		拖拖拉拉,磨磨蹭蹭
LOCAL_EMPTY	ima'orip ho	前後綴/短語	（短語）。；生前。		生前
LOCAL_EMPTY	anohakowa a romi'ad	前後綴/短語	（短語）。；總有一天。		總有一天
LOCAL_EMPTY	safisac	超短(<=4字)	頭一胎。		頭一胎
LOCAL_EMPTY	araciat	超短(<=4字)	薧苡。		薧苡
OVERLAP	sacakocakod	含「的」短語	做出不斷跳躍的動作。	做出,跳躍	動作,跳躍
OVERLAP	sapiketed	含「的」短語	切割、啃齧肉皮的用具。	切割,啃,肉皮	切割,啃齧,肉皮
OVERLAP	kafanohay	含「的」短語	一種穀粒長毛的旱稻。	旱稻,毛	旱稻,穀粒,長毛
OVERLAP	sapatefoc	含「的」短語	供處罰、懲罰用的、罰款、贖金。	供處罰,懲罰,罰款,贖金	懲罰,罰款,處罰,贖金
OVERLAP	pilaocan	含「的」短語	聚衆守衛的地點、時間、議事室、防衛所。	守,聚,衛,議事室,防衛所	守衛,聚衆,議事室,防衛所
OVERLAP	mi'ot'ot	含括號	除草，薅草，(在稻田用手攪土)除草。；用手刨、挖、雕刻。	刨,在稻田用手攪土,手,挖,草,薅,除草,雕刻	攪土,薅草,除草,雕刻
OVERLAP	iyo	含括號	（感嘆詞）表示驚嘆：啊呀，喲，哎呀。。；藥，藥物〔閩南語借詞〕。	感嘆詞,藥物,驚嘆	哎呀,啊呀,藥物,驚嘆
OVERLAP	corayen	含括號	（堆土機或豬）把土推走、拱掉。	土,堆土機或豬,拱掉,推走	堆土機,把土推走,拱掉
OVERLAP	pali'ayaway	含括號	放前面了，提前了，預先了。；前言，序言，或提前、預先（做）的（事物）。	做,前言,序言,提前,預先	前言,序言,提前,放前面,預先
OVERLAP	maseni'	含括號	（水）被倒出來，傾倒，溢出。	倒,傾倒,水,溢出	倒出,傾倒,溢出
OVERLAP	iraw	多義項	（語氣助詞）。；好極了，太棒了！	太棒了,好極,語氣助詞	太棒了,好極了,語氣助詞
OVERLAP	'asiroay	多義項	部落名稱。；今台灣台東市豐年地區。	台東市豐,台灣,地區,部落	豐年,部落
OVERLAP	pa'a'ic	多義項	反芻，重新咀嚼。；雲雀。	反芻,咀嚼,重新,雲雀	反芻,重新咀嚼,雲雀
OVERLAP	kema	多義項	行動遲頓、遲緩。；天冰手腳麻木，麻痺。	天冰,手,腳,行動,遲頓,麻木,麻痺	天冰,手腳,行動,遲緩,遲頓,麻木,麻痺
OVERLAP	tokay	多義項	都市，城市。；都會，都市〈日語借詞〉。	城市,會,都市	城市,都市,都會
OVERLAP	sa'owac	多義項	溪澗，山谷，狹谷，銀河。；乳溝。	乳溝,山谷,溪,澗,谷,銀河	乳溝,山谷,溪澗,狹谷,銀河
OVERLAP	farasi'	多義項	噴灑，潑水，濺水。；木苧麻(又名山水柳、紅水柳、山鹹魚，阿美族人用其韌皮纖維製紙及繩索及治感冒)	又名山水柳,噴灑,山鹹魚,木,水,潑,濺,紅水柳,苧麻,阿美族人用其韌皮纖維製紙及繩索及治感冒	噴灑,山水柳,山鹹魚,感冒,木苧麻,潑水,濺水,紅水柳,繩索,韌皮纖維
OVERLAP	roko	含頓號	祭司家，聖家。；保衛、衛士。	保衛,祭司,聖家,衛士	保衛,祭司家,聖家,衛士
OVERLAP	sapisa'orad	含頓號	求雨、人工造雨使用的器具。	人工,求雨,造雨	人工造雨,求雨
OVERLAP	satefo	地名後綴	古代部落名稱。；今臺灣花蓮縣玉裏鎮下德武地區。	區,武,灣,玉,縣,花,蓮,部落,鎮	下德武,部落
OVERLAP	kakacawan	地名後綴	守望台，瞭望台，哨所。；部落名稱，今台灣台東縣長濱鄉地區。	台東縣,台灣,哨所,守望,瞭望台,部落,長濱鄉地區	哨所,守望台,瞭望台,部落
OVERLAP	fakong	地名後綴	文殊蘭、螫蟹花(可治骨折)。；部落名稱。今台灣花蓮縣豐濱鄉。	可治骨折,台灣花蓮縣,文殊,花,螫,蟹,豐濱鄉,部落	文殊蘭,螫蟹花,豐濱鄉,部落,骨折
OVERLAP	tolik	地名後綴	部落名稱，台東縣成功鎮都歷部落。；用十字法編藤、竹，編製。	十字,台東縣,成功,歷,竹,編,編藤,部落,鎮都	編竹,編藤,編製,都歷部落
OVERLAP	kiyaling	部落/社名	一種稻子。；部落名稱，今台灣台東縣麒麟部落，阿美族人稱`Cilikesay~。	人,台東縣,台灣,稱,稻子,部落,阿美族,麒麟	稻子,部落,阿美族,麒麟部落
OVERLAP	cifoloay	部落/社名	部落名稱。今台灣花蓮縣壽豐鄉崩坎地區。	台灣花蓮縣,地區,坎,壽豐,崩,部落,鄉	崩坎,部落
OVERLAP	rekat	部落/社名	部落名稱。；今台東縣鹿野鄉永安部落。	台東縣,永安,部落,鹿野	永安部落,部落
OVERLAP	faka	部落/社名	木片腰帶(質柔軟，約三十公寬，部落青年人練習和預備打戰時專用的腰帶)	木片,約三十公寬,腰帶,質柔軟,部落青年人練習和預備打戰時專用的腰帶	木片腰帶,腰帶
OVERLAP	mapapiketed	部落/社名	（部落分配獵物時）被指派分割肉皮。	分割肉,指派,皮,部落分配獵物時	分割,分配,指派,獵物,肉皮
OVERLAP	copo	部落/社名	堤防，堤壩。；Copo 部落名稱，現花蓮市之國福里。	之國,堤壩,堤防,現花,福里,蓮市,部落	國福里,堤壩,堤防
OVERLAP	ancoh	部落/社名	部落名稱，今台灣玉里鎮安通村。；尿臭味，尿臊味。	台灣,安通,尿,玉里鎮,臊味,臭味,部落	安通村,尿臊味,尿臭味,部落
OVERLAP	cihafayan	部落/社名	出產小米的地方。；部落名稱。今台灣花蓮縣鳳林鎮中興地區。	中興地區,出產,台灣花蓮縣,小米,部落,鳳林鎮	中興,小米,部落,鳳林鎮
OVERLAP	sena'	部落/社名	部落名稱。；泥濘、爛泥塘，濕地。	泥塘,泥濘,部落	泥濘,濕地,爛泥塘,部落
OVERLAP	mi	前後綴/短語	(前綴)。及物動詞的主要形態標誌，主要表示：；採伐，採集。	主要形態標誌,採伐,採集,物動詞	及物動詞,形態標誌,採伐,採集
OVERLAP	nisa	前後綴/短語	複合前綴，主要表示:創造性、虚擬性動作行為。	作行,創造性,合,性動,綴	創造性,動作,虛擬性
OVERLAP	sapod	人名/姓氏	收集，撿起:男性人名。	人,撿,收集,男性,起	撿起,收集
OVERLAP	ca	人名/姓氏	前綴。加在名詞或人名、親屬稱謂詞、主格形態稱謂詞的前面，表示主格、多數。；表否定的副詞cowa 的簡縮形態。	主格,前面,加在,名詞,否定,形態,稱謂,表,親屬,詞	主格,副詞,名詞,否定,多數,親屬稱謂詞
OVERLAP	namoh	人名/姓氏	喜歡，喜愛，熱愛。；Namoh(阿美族男性人名)。	喜愛,喜歡,愛,阿美族男性人名	喜愛,喜歡,熱愛
OVERLAP	sakacinganganaw	人名/姓氏	希望有名字、有名氣。	名字,希望,有名	名字,名氣
OVERLAP	dongi	人名/姓氏	阿美族傳說中的生命女神、女性名字。	傳說,名字,女性,生命女神,阿美族	女性名字,生命女神,阿美族
OVERLAP	alaneng	人名/姓氏	田埂、安全島、女性名字。	名字,女性,安全,田埂	女性,安全島,田埂
OVERLAP	tomad	人名/姓氏	換，更換，改變。；男性名字。	名字,換,改變,男性	改變,更換
OVERLAP	kacakat	祈使/命令	登上去的，爬上去的。；（表促使、命令）請登上去、爬上去。	爬上去,登上,表促使	爬上去,登上去
OVERLAP	kacacawas	祈使/命令	彼此分離、隔開的。；（表促使、命令）使彼此分離、隔開吧！	分離,表促使,隔開	使彼此分離,彼此分離,隔開
OVERLAP	katahini	祈使/命令	來到的，到達的。；（表促使、命令）請到這裡來。	來到,表促使,請到,達	來到,到達
OVERLAP	kaceli'	祈使/命令	大聲叫喊的，尖叫的。；（表促使、命令）大聲叫吧。	叫喊,尖叫,表促使	大聲叫,大聲叫喊,尖叫
OVERLAP	kaciriko'	祈使/命令	穿衣服的。；（表促使、命令）請穿上衣服。	穿,穿衣服,衣服,表促使,請	穿上衣服,穿衣服
OVERLAP	kacipo'ot	祈使/命令	帶小刀的。；（表促使、命令）請攜帶小刀。	小刀,帶,攜,表促使,請	小刀,攜帶
OVERLAP	sakaleda'	祈使/命令	促使物體沈澱、沈落的手段。	沈,沈落,物體	沈澱,沈落,物體
OVERLAP	sa'ong	古語字	斗笠，雨傘。；`a~`ma'orad~. 好像要下雨了要帶雨傘。	下雨,了要,傘,好像,帶,斗笠,要,雨	斗笠,雨傘
OVERLAP	pinga'	古語字	髒物，糞便，爛泥，油污。；`tahapinga'~。	油污,爛泥,物,糞	油污,爛泥,糞便,髒物
OVERLAP	karihic	古語字	魚籃子、魚簍。	籃子,魚,魚簍	魚簍,魚籃子
OVERLAP	parahekaday	古語字	上鍋做飯了、燒火作炊了。	作炊,做飯,燒火,鍋	上鍋,作炊,做飯,燒火
OVERLAP	pi'acawan	古語字	打水、汲水的地方、時間。	打,水,汲水	打水,汲水
OVERLAP	koreng	古語字	陶甕，罈子，水缸。	子,水缸,陶甕	水缸,罈子,陶甕
OVERLAP	macangalay	超長(>30字)	嫌少了，不滿意、滿足了，看不起人了。；嫌少的、不滿足的、看不起人的（人）。	人,嫌少,滿意,滿足	不滿意,嫌少,滿足,看不起
OVERLAP	kira	超長(>30字)	認同或同意別人觀點、主張的叫嚷聲。；（語氣助詞）表示推測、估量等語氣。	主張,估量,叫嚷聲,推測,觀點,認同,語氣,語氣助詞	主張,估量,叫嚷,同意,推測,觀點,認同
OVERLAP	Tangafolan	超長(>30字)	平埔族(漢化的原住民，原居於屏東、高雄一帶，部分移居到台東長濱鄉和花蓮縣豈豐濱鄉一帶)	原居於屏東,平埔族,漢化的原住民,部分移居到台東長濱鄉和花蓮縣豈豐濱鄉一帶,高雄一帶	台東,屏東,平埔族,花蓮,豈豐濱鄉,長濱鄉,高雄
OVERLAP	sapimaan	超長(>30字)	做什麼用的、具有什麼器具功能、做什麼事情用的器具。；有什麼用?沒有用。	具有,功能,有用	做事情,做什麼,功能,有什麼用,沒有用
OVERLAP	maka	超長(>30字)	複合前綴。主要表示：擁有、具有許多，充滿。；有某種突出相貌或生理特點。	充滿,具有,合,擁有,特點,生理,相貌,突出,綴	充滿,具有,擁有,特點,相貌,許多
OVERLAP	mihoyo	超長(>30字)	交換漁貨。(東海岸部落族人以柴火蔬菜水果到漁港與漁船交換漁貨)。	交換,東海岸部落族人以柴火蔬菜水果到漁港與漁船交換漁貨,漁貨	交換,柴火,水果,漁港,漁船,漁貨,蔬菜
OVERLAP	milonok	超長(>30字)	獨自做事，偷偷地行動，秘密地做事。；會自動自發，自動，任意，隨意。	任意,會,秘密,自動,自發,行動	任意,偷偷,獨自,秘密,自動,自動自發,隨意
OVERLAP	'apocok	超長(>30字)	山的峰頂，堆積物的尖端部分，山頂， 山尖，山頭。；臉面隆起的疙瘩。	堆積物,尖端部分,山,山尖,山頂,山頭,峰頂,疙瘩,臉面,隆起	堆積物,尖端部分,山尖,山的峰頂,山頂,山頭,疙瘩,臉面
OVERLAP	kato	超長(>30字)	（習慣口語）。夠了，不要再… ; 停止，不用了。；轉角〈日語借詞〉。	不用,停止,夠,習慣口語,轉角	不用,不要,停止,夠了,轉角
OVERLAP	x	超長(>30字)	阿美語的輔音之一。；x在阿美語中出現頻率不多，在詞尾位置時有輕微送氣現象。	位置,出現,尾,時,現象,詞,語,輔音之一,送氣,阿美,頻率	輔音,送氣,阿美語
OVERLAP	nani	超長(>30字)	(前綴)。；(介詞)表示地點、場所的起始。從某地方，起源，工具格的原因，出發點。	介詞,出發,場所,格,起始。從某地方,起源	介詞,出發點,場所,起始
